id,track_name,track_artist,track_album_name,track_album_release_date,track_popularity,tempo,loudness,danceability
43,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,0.5,0.2660818166513908,0.8916507187680806,0.8446026097271647
44,Embrace It,Ndotz,Embrace It,2024-08-23,0.59375,0.40919548829988234,0.8102274244514666,0.8849347568208777
45,The Emptiness Machine,Linkin Park,The Emptiness Machine,2024-09-05,0.65625,0.8405504324024369,0.8967688815701634,0.39145907473309605
46,Who,Jimin,MUSE,2024-07-19,0.75,0.4160603056433663,0.887889981752637,0.6215895610913404
47,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,0.40625,0.6099150159306161,0.760136187636299,0.5255041518386713
48,Thunderstruck,AC/DC,The Razors Edge,1990-09-24,0.46875,0.525086823416447,0.8560238550892341,0.4341637010676156
49,Seven Nation Army,The White Stripes,Elephant,2003-04-01,0.4375,0.4632099412032448,0.7974542703280075,0.720047449584816
50,Creep,Radiohead,Pablo Honey,1993-02-22,0.5625,0.26523384647998854,0.7501001379678669,0.44958481613285883
51,Come As You Are,Nirvana,Nevermind (Remastered),1991-09-26,0.25,0.44156799660811946,0.8410921714362011,0.43179122182680896
52,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,0.40625,0.2941583584295095,0.909141483822155,0.5409252669039145
53,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,0.5,0.4738594489440902,0.8527749343539989,0.36654804270462626
54,"Paint It, Black",The Rolling Stones,Aftermath,1966-04-15,0.40625,0.682029890948542,0.7649650629756555,0.3890865954922894
55,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),1977-02-04,0.5,0.4417301085526522,0.7543504383817705,0.8208778173190984
56,Everlong,Foo Fighters,The Colour And The Shape,1997-05-20,0.40625,0.6781329692049658,0.8478793003693978,0.32858837485172
57,I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),1981-11-18,0.28125,0.2810397610719341,0.8593617873514621,0.4733096085409253
58,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),1977,0.34375,0.27557783555613763,0.7333659708932307,0.4021352313167259
59,"Another Brick in the Wall, Pt. 2",Pink Floyd,The Wall,1979-11-30,0.1875,0.34173821414987887,0.6177622502114024,0.6607354685646499
60,Runaway,Bon Jovi,Bon Jovi,1984-01-23,0.125,0.6430856138119379,0.8750278161021853,0.4021352313167259
61,Basket Case,Green Day,Dookie,1994-02-01,0.375,0.22296003940567272,0.8998620321331613,0.3629893238434163
62,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,0.4375,0.219948498282237,0.6708576260625752,0.501779359430605
63,White Wedding - Pt. 1,Billy Idol,Billy Idol,1982-01-01,0.0625,0.6103390010163174,0.8507721749966621,0.6370106761565836
64,You Shook Me All Night Long,AC/DC,Back In Black,1980-07-25,0.40625,0.48668499778654856,0.8485913925853399,0.46975088967971523
65,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1965-07-30,0.25,0.5424328014814539,0.795607281142908,0.6963226571767496
66,Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),1972-06-06,0.25,0.31893031056907534,0.7420223418932752,0.4151838671411624
67,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),1969-10-22,0.125,0.2521152491224133,0.7130490898571366,0.32740213523131667
68,Riders on the Storm,The Doors,L.A. Woman,1971-04-19,0.0625,0.3403166170978222,0.7101784681116206,0.49110320284697506
69,Even Flow,Pearl Jam,Ten,1991-08-27,0.28125,0.34936994569249863,0.826405269482398,0.30604982206405695
70,Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,1984-06-04,0.125,0.4538386237942926,0.8367306066135565,0.3107947805456702
71,Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),1997-09-29,0.34375,0.7598747996982225,0.8375317103564912,0.26097271648873066
72,Don't Cry (Original),Guns N' Roses,Use Your Illusion I,1991-09-17,0.21875,0.46968194883497644,0.7789176198317682,0.37841043890865955
73,All Along the Watchtower,Jimi Hendrix,Electric Ladyland,1968-10-25,0.125,0.3987205626531491,0.8323912946726602,0.35824436536180304
74,In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),1981-01-01,0.25,0.8741699556686184,0.6608660821576395,0.3677342823250296
75,Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),1977-09-16,0.25,0.4602295754537577,0.7904223596955806,0.6939501779359429
76,Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,1993-03-09,0.09375,0.4985815204853384,0.7414882727313188,0.5729537366548042
77,Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),1986-03-03,0.0625,0.3488212591110031,0.768503271173617,0.47805456702253857
78,Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),1987-04-13,0.34375,0.40939501069315337,0.726601094841782,0.7046263345195729
79,Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),1970-12-07,0.5,0.4165279362525954,0.8147892652098447,0.7176749703440094
80,Just What I Needed,The Cars,The Cars,1978-06-06,0.03125,0.4857746768672491,0.7640749477057279,0.5741399762752075
81,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),1991-09-26,0.25,0.4205932050154942,0.8697983888913615,0.4341637010676156
82,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),1992,0.3125,0.24616075269822862,0.877386621567493,0.39145907473309605
83,Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),1969-09-26,0.21875,0.7199640859692114,0.7060839378699542,0.4673784104389086
84,Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),1976,0.15625,0.48290654246397696,0.8435622413102497,0.41043890865954913
85,Song 2 - 2012 Remaster,Blur,Blur (Special Edition),1997-02-10,0.3125,0.5019048153482601,0.817570875428368,0.6381969157769869
86,Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),1988-03-21,0.25,0.19970321044000933,0.655681160710312,0.4543297746144721
87,Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),1982,0.375,0.3994812417774953,0.8273176376340736,0.720047449584816
88,Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),1980-06-27,0.09375,0.3782819874924401,0.8271618674618364,0.9442467378410438
89,Uprising,Muse,The Resistance,2009-09-10,0.21875,0.49078767699818576,0.8811473585829366,0.5527876631079477
90,For What It's Worth,Buffalo Springfield,Buffalo Springfield,1966-12-05,0.25,0.3091225379248425,0.7450042280475322,0.6132858837485171
91,You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),1978-02-10,0.0,0.5541422719365521,0.8381547910454404,0.37722419928825623
